SpeciesCode,taxon,snamn,total_presence,svamp-grupp-släkte,geographyOptions,forestTypeOptions,vegetationTypeOptions,standAgeOptions
SI18-349,Hysterangium sp.1,Saknar svenskt namn,454,tryffel,Norr,Granskog,Blåbär,1-40
SI18-4,Cenococcum geophilum (coll.) sp.3,Saknar svenskt namn,434,övrigt,Norr,Granskog,Blåbär,1-40
SI18-26,Hyaloscypha finlandica sp.1,Saknar svenskt namn,322,skålsvamp,Norr,Granskog,Blåbär,1-40
SI18-10,Tylospora fibrillosa,bomullsskinn,249,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-713,Cortinarius ochrophyllus,ockraspindling,171,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-24,Hyaloscypha variabilis,Saknar svenskt namn,165,skålsvamp,Norr,Granskog,Blåbär,1-40
SI18-30,Lactarius rufus,pepparriska,163,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-15,Piloderma sphaerosporum,Saknar svenskt namn,147,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-28,Russula decolorans,tegelkremla,123,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-43,Cortinarius mucosus/alpinus/fennoscandicus/trivialis,Saknar svenskt namn,121,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-31,Piloderma olivaceum sp.1,mörkt ullskinn,111,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-35,Tylospora asterophora,astralskinn,96,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-78,Cortinarius semisanguineus,rödskivig kanelspindling,66,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-166,Piloderma sp.3,Saknar svenskt namn,65,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-90,Polyozellus umbrinus,Saknar svenskt namn,63,Saknas,Norr,Granskog,Blåbär,1-40
SI18-192,Cortinarius brunneus,umbraspindling,38,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-9,Suillus variegatus,sandsopp,33,sopp,Norr,Granskog,Blåbär,1-40
SI18-130,Cortinarius kauffmanianus,Saknar svenskt namn,29,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-402,Hebeloma velutipes (coll.) sp.2,Saknar svenskt namn,26,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-493,Gautieria cf otthii,Saknar svenskt namn,25,tryffel,Norr,Granskog,Blåbär,1-40
SI18-642,Cortinarius biformis,gycklarspindling,22,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-89,Atheliaceae sp.3,Saknar svenskt namn,22,Saknas,Norr,Granskog,Blåbär,1-40
SI18-227,Russula aquosa,sumpkremla,18,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-196,Piloderma sp.6,Saknar svenskt namn,17,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-272,Polyozellus sp.2,Saknar svenskt namn,14,Saknas,Norr,Granskog,Blåbär,1-40
SI18-153,Lactarius vietus/pilatii,Saknar svenskt namn,13,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-909,Tomentellopsis sp.1,Saknar svenskt namn,10,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-136,Amphinema byssoides sp.1,kraterskinn,9,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-217,Polyozellus humicola,Saknar svenskt namn,8,Saknas,Norr,Granskog,Blåbär,1-40
SI18-48,Russula paludosa,storkremla,8,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-183,Russula rhodopus,lackkremla,7,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-1968,Cortinarius tabularis,lerbrun björkspindling,6,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-381,Hebeloma velutipes (coll.) sp.1,Saknar svenskt namn,6,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-116,Hygrophorus olivaceoalbus,olivvaxskivling,5,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-2178,Cortinarius sp.3,Saknar svenskt namn,5,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-274,Thelephora alnii,Saknar svenskt namn,5,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-558,Rhizopogon evadens,Saknar svenskt namn,5,tryffel,Norr,Granskog,Blåbär,1-40
SI18-58,Piloderma olivaceum sp.2,mörkt ullskinn,5,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-74,Amphinema byssoides sp.3,kraterskinn,5,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-132,Atheliaceae sp.1,Saknar svenskt namn,4,Saknas,Norr,Granskog,Blåbär,1-40
SI18-356,Polyozellus sp.3,Saknar svenskt namn,4,Saknas,Norr,Granskog,Blåbär,1-40
SI18-374,Laccaria laccata (coll.),Saknar svenskt namn,4,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-475,Otidea leporina,litet haröra,4,skålsvamp,Norr,Granskog,Blåbär,1-40
SI18-54,Cortinarius armillatus,rödbandad spindling,4,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-634,Cortinarius fulvescens (coll.),Saknar svenskt namn,4,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-797,Cortinarius athabascus,Saknar svenskt namn,4,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-1126,Lactarius deterrimus/fennoscandicus,Saknar svenskt namn,3,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-1687,Cortinarius brunneifolius,Saknar svenskt namn,3,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-33,Piloderma byssinum,ullskinn,3,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-424,Cortinarius bivelus,hålspindling,3,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-120,Thelephora terrestris,vårtöra,2,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-1772,Atheliaceae sp.2,Saknar svenskt namn,2,Saknas,Norr,Granskog,Blåbär,1-40
SI18-2161,Hydnotrya michaelis?,Saknar svenskt namn,2,tryffel,Norr,Granskog,Blåbär,1-40
SI18-223,Cortinarius comptulus,rundsporig spindling,2,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-396,Cortinarius pholideus,tofsspindling,2,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-645,Leccinum aff. scabrum sp.2,Saknar svenskt namn,2,sopp,Norr,Granskog,Blåbär,1-40
SI18-831,Leccinum sp.1,Saknar svenskt namn,2,sopp,Norr,Granskog,Blåbär,1-40
SI18-973,Cortinarius acutus,spetsspindling,2,hattsvamp,Norr,Granskog,Blåbär,1-40
SI21-1888,Hysterangium sp.2,Saknar svenskt namn,2,tryffel,Norr,Granskog,Blåbär,1-40
SI18-101,Lactarius tabidus,småriska,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-1047,Entoloma sericatum,Saknar svenskt namn,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-1168,Cortinarius latiodistributus,Saknar svenskt namn,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-1185,Leccinum aff. holopus,Saknar svenskt namn,1,sopp,Norr,Granskog,Blåbär,1-40
SI18-1193,Cortinarius laniger,ullspindling,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-127,Suillus bovinus,örsopp,1,sopp,Norr,Granskog,Blåbär,1-40
SI18-141,Tomentellopsis echinospora sp.1,brunt brokskinn,1,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-1717,Cortinarius suberi,Saknar svenskt namn,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-2356,Cortinarius flexipes var. flabellus sp.1,barrtoppspindling,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-304,Hyaloscypha vraolstadiae sp.1,Saknar svenskt namn,1,skålsvamp,Norr,Granskog,Blåbär,1-40
SI18-320,Tomentella badia sp.2,Saknar svenskt namn,1,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-3222,Cortinarius diasemospermus var. leptospermus sp.2,Saknar svenskt namn,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-347,Cortinarius malachius,malvaspindling,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-49,Piloderma bicolor,Saknar svenskt namn,1,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-496,Cortinarius leucophanes,gräddspindling,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-529,Paxillus involutus,Saknar svenskt namn,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-583,Boletus edulis sp.1,stensopp,1,sopp,Norr,Granskog,Blåbär,1-40
SI18-615,Cortinarius dolabratus/glaphurus/turgidipes,Saknar svenskt namn,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-620,Tomentella sp.15,Saknar svenskt namn,1,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI18-6293,Polyozellus sp.4,Saknar svenskt namn,1,Saknas,Norr,Granskog,Blåbär,1-40
SI18-70,Cortinarius caperatus,rimskivling,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-882,Polyozellus sp.5,Saknar svenskt namn,1,Saknas,Norr,Granskog,Blåbär,1-40
SI18-914,Cortinarius coleoptera,Saknar svenskt namn,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-978,Lactarius glyciosmus,kokosriska,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI19-1178,Cortinarius sp.11,Saknar svenskt namn,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI19-1612,Cortinarius vibratilis,gallspindling,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI21-1708,Tomentellopsis sp.3,Saknar svenskt namn,1,skinnsvamp,Norr,Granskog,Blåbär,1-40
SI21-1959,Cortinarius valgus,glatt rättikspindling,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI21-2717,Cortinarius spilomeus,rödflockig spindling,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI21-8177,Hyaloscypha sp.10,Saknar svenskt namn,1,skålsvamp,Norr,Granskog,Blåbär,1-40
SI21-8471,Cortinarius rubrophyllus,Saknar svenskt namn,1,hattsvamp,Norr,Granskog,Blåbär,1-40
SI18-4,Cenococcum geophilum (coll.) sp.3,Saknar svenskt namn,2178,övrigt,Norr,Granskog,Blåbär,41-90
SI18-10,Tylospora fibrillosa,bomullsskinn,806,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-43,Cortinarius mucosus/alpinus/fennoscandicus/trivialis,Saknar svenskt namn,666,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-15,Piloderma sphaerosporum,Saknar svenskt namn,589,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-26,Hyaloscypha finlandica sp.1,Saknar svenskt namn,493,skålsvamp,Norr,Granskog,Blåbär,41-90
SI18-24,Hyaloscypha variabilis,Saknar svenskt namn,470,skålsvamp,Norr,Granskog,Blåbär,41-90
SI18-33,Piloderma byssinum,ullskinn,419,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-251,Cortinarius sp.5,Saknar svenskt namn,332,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-31,Piloderma olivaceum sp.1,mörkt ullskinn,312,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-136,Amphinema byssoides sp.1,kraterskinn,263,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-255,Cortinarius betuletorum,Saknar svenskt namn,206,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-54,Cortinarius armillatus,rödbandad spindling,162,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-48,Russula paludosa,storkremla,159,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-9,Suillus variegatus,sandsopp,154,sopp,Norr,Granskog,Blåbär,41-90
SI18-49,Piloderma bicolor,Saknar svenskt namn,129,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-1096,Rhizopogon mohelnensis,Saknar svenskt namn,126,tryffel,Norr,Granskog,Blåbär,41-90
SI18-223,Cortinarius comptulus,rundsporig spindling,111,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-30,Lactarius rufus,pepparriska,97,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-141,Tomentellopsis echinospora sp.1,brunt brokskinn,92,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-28,Russula decolorans,tegelkremla,92,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-572,Otidea cantharella,Saknar svenskt namn,77,skålsvamp,Norr,Granskog,Blåbär,41-90
SI18-166,Piloderma sp.3,Saknar svenskt namn,69,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-642,Cortinarius biformis,gycklarspindling,69,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-196,Piloderma sp.6,Saknar svenskt namn,68,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-192,Cortinarius brunneus,umbraspindling,50,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-153,Lactarius vietus/pilatii,Saknar svenskt namn,47,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-396,Cortinarius pholideus,tofsspindling,44,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-217,Polyozellus humicola,Saknar svenskt namn,41,Saknas,Norr,Granskog,Blåbär,41-90
SI18-257,Cortinarius armeniacus,aprikosspindling,41,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-90,Polyozellus umbrinus,Saknar svenskt namn,40,Saknas,Norr,Granskog,Blåbär,41-90
SI18-304,Hyaloscypha vraolstadiae sp.1,Saknar svenskt namn,37,skålsvamp,Norr,Granskog,Blåbär,41-90
SI18-475,Otidea leporina,litet haröra,36,skålsvamp,Norr,Granskog,Blåbär,41-90
SI18-89,Atheliaceae sp.3,Saknar svenskt namn,35,Saknas,Norr,Granskog,Blåbär,41-90
SI18-973,Cortinarius acutus,spetsspindling,35,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-520,Cortinarius casimiri,storsporig spindling,32,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-623,Tomentella bryophila (coll.) sp.2,Saknar svenskt namn,28,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-74,Amphinema byssoides sp.3,kraterskinn,28,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-467,Russula griseascens,Saknar svenskt namn,27,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-130,Cortinarius kauffmanianus,Saknar svenskt namn,25,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-35,Tylospora asterophora,astralskinn,23,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-1717,Cortinarius suberi,Saknar svenskt namn,21,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-58,Piloderma olivaceum sp.2,mörkt ullskinn,21,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-208,Laccaria laccata,laxskivling,20,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-442,Chroogomphus britannicus,Saknar svenskt namn,19,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-808,Cortinarius acutovelatus,Saknar svenskt namn,19,hattsvamp,Norr,Granskog,Blåbär,41-90
SI19-1972,Serendipita (coll.),Saknar svenskt namn,19,övrigt,Norr,Granskog,Blåbär,41-90
SI18-214,Russula emetica (coll.) - betularum,Saknar svenskt namn,18,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-95,Russula vinosa,vinkremla,18,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-101,Lactarius tabidus,småriska,16,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-1158,Cortinarius privignatus,Saknar svenskt namn,16,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-638,Thaxterogaster scaurus,Saknar svenskt namn,16,Saknas,Norr,Granskog,Blåbär,41-90
SI18-402,Hebeloma velutipes (coll.) sp.2,Saknar svenskt namn,15,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-283,Cortinarius aff. obtusus sp.3,Saknar svenskt namn,14,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-38,Cortinarius aurae,Saknar svenskt namn,14,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-797,Cortinarius athabascus,Saknar svenskt namn,14,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-116,Hygrophorus olivaceoalbus,olivvaxskivling,12,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-1168,Cortinarius latiodistributus,Saknar svenskt namn,12,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-9157,Polyozellus sp.6,Saknar svenskt namn,11,Saknas,Norr,Granskog,Blåbär,41-90
SI18-272,Polyozellus sp.2,Saknar svenskt namn,10,Saknas,Norr,Granskog,Blåbär,41-90
SI18-306,Piloderma sp.9,Saknar svenskt namn,10,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-479,Leccinum variicolor,fläcksopp,10,sopp,Norr,Granskog,Blåbär,41-90
SI18-713,Cortinarius ochrophyllus,ockraspindling,10,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-78,Cortinarius semisanguineus,rödskivig kanelspindling,10,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-1193,Cortinarius laniger,ullspindling,9,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-183,Russula rhodopus,lackkremla,8,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-2037,Cortinarius clarobrunneus (coll.) sp.1,Saknar svenskt namn,8,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-227,Russula aquosa,sumpkremla,8,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-313,Russula emetica (coll.) - atrorubens,Saknar svenskt namn,8,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-381,Hebeloma velutipes (coll.) sp.1,Saknar svenskt namn,8,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-617,Otidea brunneoparva,Saknar svenskt namn,8,skålsvamp,Norr,Granskog,Blåbär,41-90
SI18-771,Tomentella stuposa (coll.) sp.3,Saknar svenskt namn,8,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-998,Sistotrema alboluteum (coll.) sp.2,Saknar svenskt namn,8,övrigt,Norr,Granskog,Blåbär,41-90
SI18-525,Russula nitida/sphagnophila (coll.),Saknar svenskt namn,7,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-274,Thelephora alnii,Saknar svenskt namn,6,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-493,Gautieria cf otthii,Saknar svenskt namn,6,tryffel,Norr,Granskog,Blåbär,41-90
SI18-6293,Polyozellus sp.4,Saknar svenskt namn,6,Saknas,Norr,Granskog,Blåbär,41-90
SI18-634,Cortinarius fulvescens (coll.),Saknar svenskt namn,6,hattsvamp,Norr,Granskog,Blåbär,41-90
SI21-11756,Tomentella sp.32,Saknar svenskt namn,6,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-2498,Cortinarius caesiobrunneus,Saknar svenskt namn,5,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-70,Cortinarius caperatus,rimskivling,5,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-810,Elaphomyces muricatus,marmorerad hjorttryffel,5,tryffel,Norr,Granskog,Blåbär,41-90
SI21-3993,Hydnotrya bailii,Saknar svenskt namn,5,tryffel,Norr,Granskog,Blåbär,41-90
SI21-5584,Cortinarius sp.61,Saknar svenskt namn,5,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-2356,Cortinarius flexipes var. flabellus sp.1,barrtoppspindling,4,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-291,Lactarius trivialis,skogsriska,4,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-3222,Cortinarius diasemospermus var. leptospermus sp.2,Saknar svenskt namn,4,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-831,Leccinum sp.1,Saknar svenskt namn,4,sopp,Norr,Granskog,Blåbär,41-90
SI21-1839,Boletus pinophilus,rödbrun stensopp,4,sopp,Norr,Granskog,Blåbär,41-90
SI18-1080,Cortinarius subpaleaceus,Saknar svenskt namn,3,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-1779,Thelephoraceae sp.2,Saknar svenskt namn,3,Saknas,Norr,Granskog,Blåbär,41-90
SI18-2161,Hydnotrya michaelis?,Saknar svenskt namn,3,tryffel,Norr,Granskog,Blåbär,41-90
SI18-349,Hysterangium sp.1,Saknar svenskt namn,3,tryffel,Norr,Granskog,Blåbär,41-90
SI18-374,Laccaria laccata (coll.),Saknar svenskt namn,3,hattsvamp,Norr,Granskog,Blåbär,41-90
SI19-1178,Cortinarius sp.11,Saknar svenskt namn,3,hattsvamp,Norr,Granskog,Blåbär,41-90
SI19-4581,Sistotrema  sp.3,Saknar svenskt namn,3,övrigt,Norr,Granskog,Blåbär,41-90
SI21-1694,Tomentella sp.67,Saknar svenskt namn,3,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI21-1888,Hysterangium sp.2,Saknar svenskt namn,3,tryffel,Norr,Granskog,Blåbär,41-90
SI21-2868,Tylospora sp.2,Saknar svenskt namn,3,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-1127,Hygrophorus piceae,granvaxskivling,2,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-1140,Cortinarius neofurvolaesus,Saknar svenskt namn,2,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-1428,Tuber anniae sp.1,Saknar svenskt namn,2,tryffel,Norr,Granskog,Blåbär,41-90
SI18-1687,Cortinarius brunneifolius,Saknar svenskt namn,2,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-1772,Atheliaceae sp.2,Saknar svenskt namn,2,Saknas,Norr,Granskog,Blåbär,41-90
SI18-2646,Otidea sp.2,Saknar svenskt namn,2,skålsvamp,Norr,Granskog,Blåbär,41-90
SI18-320,Tomentella badia sp.2,Saknar svenskt namn,2,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-356,Polyozellus sp.3,Saknar svenskt namn,2,Saknas,Norr,Granskog,Blåbär,41-90
SI18-3586,Lactarius torminosus (coll) resimus/auriolla,Saknar svenskt namn,2,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-359,Suillus flavidus,slemsopp,2,sopp,Norr,Granskog,Blåbär,41-90
SI18-369,Lactarius necator,svartriska,2,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-424,Cortinarius bivelus,hålspindling,2,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-529,Paxillus involutus,Saknar svenskt namn,2,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-583,Boletus edulis sp.1,stensopp,2,sopp,Norr,Granskog,Blåbär,41-90
SI18-645,Leccinum aff. scabrum sp.2,Saknar svenskt namn,2,sopp,Norr,Granskog,Blåbär,41-90
SI18-746,Tomentella stuposa (coll.) sp.2,Saknar svenskt namn,2,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-969,Russula clavipes (coll.),Saknar svenskt namn,2,hattsvamp,Norr,Granskog,Blåbär,41-90
SI21-1881,Cortinarius sanguineus,Saknar svenskt namn,2,hattsvamp,Norr,Granskog,Blåbär,41-90
SI21-2381,Cortinarius anisatus,Saknar svenskt namn,2,hattsvamp,Norr,Granskog,Blåbär,41-90
SI21-2913,Cortinarius sp.41,Saknar svenskt namn,2,hattsvamp,Norr,Granskog,Blåbär,41-90
SI21-7341,Thaxterogaster ochroamarus,Saknar svenskt namn,2,Saknas,Norr,Granskog,Blåbär,41-90
SI18-1185,Leccinum aff. holopus,Saknar svenskt namn,1,sopp,Norr,Granskog,Blåbär,41-90
SI18-120,Thelephora terrestris,vårtöra,1,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI18-127,Suillus bovinus,örsopp,1,sopp,Norr,Granskog,Blåbär,41-90
SI18-1619,Cortinarius subobtusus,Saknar svenskt namn,1,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-163,Cortinarius gentilis,gulbandad spindling,1,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-2188,Cortinarius uraceus,svartnande spindling,1,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-347,Cortinarius malachius,malvaspindling,1,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-358,Sistotrema albopallescens,Saknar svenskt namn,1,övrigt,Norr,Granskog,Blåbär,41-90
SI18-418,Hyaloscypha finlandica sp.2,Saknar svenskt namn,1,skålsvamp,Norr,Granskog,Blåbär,41-90
SI18-430,Chalciporus piperatus,Saknar svenskt namn,1,sopp,Norr,Granskog,Blåbär,41-90
SI18-496,Cortinarius leucophanes,gräddspindling,1,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-534,Rhizopogon graveolens f. pomaceus,Saknar svenskt namn,1,tryffel,Norr,Granskog,Blåbär,41-90
SI18-5396,Tuber anniae sp.2,Saknar svenskt namn,1,tryffel,Norr,Granskog,Blåbär,41-90
SI18-5686,Hymenogaster aff. decorus,Saknar svenskt namn,1,tryffel,Norr,Granskog,Blåbär,41-90
SI18-593,Cortinarius sp.8,Saknar svenskt namn,1,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-770,Russula consobrina,nässelkremla,1,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-85,Amanita fulva,brun kamskivling,1,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-853,Amanita porphyria,mörkringad flugsvamp,1,hattsvamp,Norr,Granskog,Blåbär,41-90
SI21-1183,Tomentellopsis submollis sp.2,Saknar svenskt namn,1,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI21-12143,Entoloma majaloides,Saknar svenskt namn,1,hattsvamp,Norr,Granskog,Blåbär,41-90
SI21-13103,Inocybe soluta,Saknar svenskt namn,1,hattsvamp,Norr,Granskog,Blåbär,41-90
SI21-1398,Cortinarius rusticus,vargspindling,1,hattsvamp,Norr,Granskog,Blåbär,41-90
SI21-1708,Tomentellopsis sp.3,Saknar svenskt namn,1,skinnsvamp,Norr,Granskog,Blåbär,41-90
SI21-4306,Polyozellus sp.13,Saknar svenskt namn,1,Saknas,Norr,Granskog,Blåbär,41-90
SI21-5549,Cortinarius hirtipes/citrinofulvescens,Saknar svenskt namn,1,hattsvamp,Norr,Granskog,Blåbär,41-90
SI21-6113,Thaxterogaster rufoallutus,Saknar svenskt namn,1,Saknas,Norr,Granskog,Blåbär,41-90
SI21-7494,Cortinarius sp.71,Saknar svenskt namn,1,hattsvamp,Norr,Granskog,Blåbär,41-90
SI21-7524,Cortinarius hadrocroceus,Saknar svenskt namn,1,hattsvamp,Norr,Granskog,Blåbär,41-90
SI18-4,Cenococcum geophilum (coll.) sp.3,Saknar svenskt namn,4609,övrigt,Norr,Granskog,Blåbär,91
SI18-38,Cortinarius aurae,Saknar svenskt namn,1510,hattsvamp,Norr,Granskog,Blåbär,91
SI18-24,Hyaloscypha variabilis,Saknar svenskt namn,1505,skålsvamp,Norr,Granskog,Blåbär,91
SI18-10,Tylospora fibrillosa,bomullsskinn,1429,skinnsvamp,Norr,Granskog,Blåbär,91
SI18-28,Russula decolorans,tegelkremla,1401,hattsvamp,Norr,Granskog,Blåbär,91
SI18-43,Cortinarius mucosus/alpinus/fennoscandicus/trivialis,Saknar svenskt namn,1131,hattsvamp,Norr,Granskog,Blåbär,91
SI18-15,Piloderma sphaerosporum,Saknar svenskt namn,1087,skinnsvamp,Norr,Granskog,Blåbär,91
SI18-33,Piloderma byssinum,ullskinn,770,skinnsvamp,Norr,Granskog,Blåbär,91
SI18-26,Hyaloscypha finlandica sp.1,Saknar svenskt namn,768,skålsvamp,Norr,Granskog,Blåbär,91
SI18-393,Cortinarius traganus,bockspindling,450,hattsvamp,Norr,Granskog,Blåbär,91
SI18-49,Piloderma bicolor,Saknar svenskt namn,415,skinnsvamp,Norr,Granskog,Blåbär,91
