Scientificname,Commonname,SIGNAL_art,RL2020kat,Giftsvamp,Nyasvamp-boken
Hygrophorus unicolor,rödbrun bokvaxskivling,,NT,,
Cortinarius areni-silvae,mospindling,,NT,,
Russula decipiens,fruktkremla,,DD,,
Cortinarius xanthochlorus,gulgrön spindling,,EN,,
Hydnellum compactum,kompakt taggsvamp,,VU,,
Hymenogaster luteus,slätsporig buktryffel,,NT,,
Cortinarius moÃ«nne-loccozii,safirspindling,,EN,,
Cortinarius foetens,spindelskivling,,VU,,
Ramaria fumigata,grålila fingersvamp,,NT,,
Ramaria tridentina,mandarinfingersvamp,,DD,,
Elaphomyces striatosporus,strimsporig hjorttryffel,,VU,,
Ramaria subbotrytis,praktfingersvamp,,VU,,
Elaphomyces aculeatus,taggig hjorttryffel,,EN,,
Cortinarius bergeronii,sydlig gyllenspindling,,VU,,
Cortinarius calochrous,lövfagerspindling,,NT,,
Cortinarius napus,rovspindling,,NT,,
Hydnellum ioeides,lundtaggsvamp,,VU,,
Ramaria rufescens,fjällfotad fingersvamp,,VU,,
Cortinarius cagei,lövängsspindling,,VU,,
Cortinarius spadicellus,råttspindling,,NT,,
Otidea concinna,gullöra,,DD,,
Tricholoma squarrulosum,musseron ,S,NE,,
Cortinarius fulvocitrinus,brunskivig citronspindling,,VU,,
Cortinarius cisticola,solvändespindling,,NT,,
Suillellus queletii,flamsopp,,VU,,
Hygrophorus mesotephrus,bokvaxskivling,,NT,,
Russula anthracina,sotkremla,,DD,,
Cortinarius tofaceus,kromspindling,,NT,,
Cortinarius bovinus,stor granspindling,,VU,,
Cortinarius subgracilis,trollspindling,,DD,,
Polyozellus tristis,tomentelloid svamp,,DD,,
Cortinarius magicus,lövstrimspindling,,NT,,
Rubroboletus rhodoxanthus,rosensopp,,EN,,
Ramaria grandipes,ekfingersvamp,,EN,,
Cortinarius caesiocinctus s. lat.,blyspindling agg.,,VU,,
Cortinarius dalecarlicus,siljansspindling,,VU,,
Cortinarius catharinae,blek fagerspindling,,VU,,
Cortinarius argenteolilacinus,silverfotsspindling,,VU,,
Cortinarius serarius,blåbrun spindling,,VU,,
Tricholoma filamentosum,pantermusseron,,VU,,
Cortinarius camptoros,elastisk spindling,,EN,,
Cortinarius spectabilis,klenodspindling,,VU,,
Russula laeta,skönkremla,,VU,,
Cortinarius odoratus,blomspindling,,EN,,
Imperator rhodopurpureus,purpursopp,,EN,,
Cortinarius nanceiensis,bananspindling,,VU,,
Hydnellum scabrosellum,dvärgtaggsvamp,S,NE,,
Cortinarius suaveolens,sötdoftande spindling,,EN,,
Hymenogaster vulgaris,buktryffel,,DD,,
Ramaria primulina,gelatinfingersvamp,,DD,,
Russula olivina,olivinkremla,,VU,,
Ramaria krieglsteineri,lundfingersvamp,,NT,,
Cortinarius humicola,fjällig spindling,,VU,,
Elaphomyces virgatosporus,ungersk hjorttryffel,,VU,,
Inocybe fibrosa,jättetråding,,EN,,
Octaviania asterosperma,lövtryffel,,VU,,
Cortinarius phaeosmus,muskotspindling,,NT,,
Amanita strobiliformis,flockflugsvamp,,NT,,
Cortinarius xantho-ochraceus,jästspindling,,VU,,
Russula vinosobrunnea,brun läderkremla,,NT,,
Cortinarius stjernegaardii,knölfotad bananspindling,,VU,,
Cortinarius populinus,poppelspindling,,NT,,
Odontia ferruginea,filttagging,,DD,,
Hygrophorus poÃ«tarum,balsamvaxskivling,,VU,,
Sistotrema alboluteum,oljeporing,,DD,,
Ramaria flavosalmonicolor,laxfingersvamp,,VU,,
Tricholoma dulciolens,doftmusseron,,VU,,
Cortinarius cruentipellis,granatspindling,,VU,,
Russula rutila,liten ekkremla,,NT,,
Russula olivobrunnea,olivbrun kremla,,VU,,
Hydnotrya michaelis,barrtryffel,,VU,,
Cortinarius selandicus,själlandsspindling,,VU,,
Otidea propinquata,haröra,,DD,,
Cortinarius diosmus,tvådoftspindling,,VU,,
Cortinarius cedretorum,tallkejsarspindling,,VU,,
Tricholoma ilkkae,musseron ,,VU,,
Cortinarius osmophorus,karamellspindling,,VU,,
Cortinarius luhmannii,blågrå spindling,,VU,,
Cortinarius langeorum,gulslöjad spindling,,VU,,
Inocybe fibrosoides,stortråding,,VU,,
Elaphomyces septatus,ljussporig hjorttryffel,,EN,,
Cortinarius olidoamethysteus,grynspindling,,DD,,
Ramaria flavoides,ädelfingersvamp,S,NA,,
Cortinarius arcifolius,vattrad spindling,,VU,,
Ramaria subtilis,ädelfingersvamp,S,NA,,
Geopora cooperi,tryffelmurkla,,VU,,
Tricholoma borgsjoeÃ«nse,borgsjömusseron,,VU,,
Hygrophorus calophyllus,rosaskivig vaxskivling,,EN,,
Cortinarius xanthophyllus,gyllenskivig spindling,,VU,,
